,latitude,datacoverage,longitude,name,maxdate,id,elevationUnit,elevation,mindate
115,50.5544,0.9848,13.9314,"MILESOVKA, EZ",2015-12-18,GHCND:EZ000011464,METERS,833.0,1906-05-01
116,50.067,0.6234,12.383,"CHEB, EZ",2015-12-18,GHCND:EZM00011406,METERS,490.0,1938-10-31
117,49.667,0.7378,12.683,"PRIMDA, EZ",2015-12-18,GHCND:EZM00011423,METERS,747.4,1978-06-01
118,49.467,0.7208,13.833,"KOCELOVICE, EZ",2015-12-18,GHCND:EZM00011487,METERS,521.9,1977-06-01
119,50.101,0.7761,14.26,"RUZYNE, EZ",2015-12-18,GHCND:EZM00011518,METERS,380.1,1940-01-01
120,50.0,1.0,14.45,"PRAHA LIBUS, EZ",2015-12-18,GHCND:EZM00011520,METERS,303.7,1973-01-01
121,50.767,0.6234,15.017,"LIBEREC, EZ",2015-12-18,GHCND:EZM00011603,METERS,401.5,1938-10-13
122,49.583,0.829,15.767,"PRIBYSLAV, EZ",2015-12-18,GHCND:EZM00011659,METERS,536.4,1954-07-01
123,49.151,0.6854,16.694,"TURANY, EZ",2015-12-18,GHCND:EZM00011723,METERS,237.1,1939-04-01
124,49.696,0.8438,18.111,"MOSNOV, EZ",2015-12-18,GHCND:EZM00011782,METERS,257.3,1953-01-01
125,49.55,1.0,18.45,"LYSA HORA, EZ",2015-12-18,GHCND:EZM00011787,METERS,1326.8,1973-01-01
