,Unnamed: 0_x,latitude,datacoverage,longitude,name,maxdate,id,elevationUnit,elevation,mindate,Unnamed: 0_y,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,pct
0,115,50.5544,0.9848,13.9314,"Milešovka",2015-12-18,GHCND:EZ000011464,METERS,833.0,1906-05-01,"MILESOVKA, EZ",0.0,51.0,0.0,0.0,89.0,0.0,51.0,10.0,231.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,10.0,61.0,10.0,191.0,109.0,30.0,51.0,221.0,0.0,0.0,30.0,140.0,480.0,71.0,180.0,0.0,60.60606060606061
1,116,50.067,0.6234,12.383,"Cheb",2015-12-18,GHCND:EZM00011406,METERS,490.0,1938-10-31,"CHEB, EZ",0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,79.0,0.0,20.0,41.0,0.0,150.0,0.0,71.0,0.0,51.0,0.0,10.0,0.0,41.0,300.0,0.0,0.0,0.0,36.36363636363637
2,117,49.667,0.7378,12.683,"Přimda",2015-12-18,GHCND:EZM00011423,METERS,747.4,1978-06-01,"PRIMDA, EZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,89.0,0.0,61.0,0.0,130.0,0.0,180.0,0.0,51.0,290.0,41.0,330.0,0.0,79.0,51.0,330.0,0.0,10.0,30.0,89.0,559.0,79.0,71.0,0.0,57.57575757575758
3,118,49.467,0.7208,13.833,"Kocelovice",2015-12-18,GHCND:EZM00011487,METERS,521.9,1977-06-01,"KOCELOVICE, EZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,130.0,0.0,160.0,0.0,0.0,61.0,10.0,79.0,0.0,41.0,0.0,51.0,0.0,0.0,0.0,10.0,150.0,0.0,0.0,0.0,33.33333333333333
4,119,50.101000000000006,0.7761,14.26,"Ruzyně",2015-12-18,GHCND:EZM00011518,METERS,380.1,1940-01-01,"RUZYNE, EZ",0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,89.0,0.0,0.0,41.0,10.0,140.0,10.0,61.0,0.0,0.0,0.0,0.0,0.0,41.0,130.0,0.0,0.0,0.0,33.33333333333333
5,120,50.0,1.0,14.45,"Praha Libuš",2015-12-18,GHCND:EZM00011520,METERS,303.7,1973-01-01,"PRAHA LIBUS, EZ",0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,61.0,0.0,0.0,20.0,10.0,51.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,89.0,0.0,0.0,0.0,30.303030303030305
6,121,50.766999999999996,0.6234,15.017000000000001,"Liberec",2015-12-18,GHCND:EZM00011603,METERS,401.5,1938-10-13,"LIBEREC, EZ",0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,71.0,79.0,20.0,0.0,61.0,0.0,119.0,0.0,30.0,140.0,10.0,300.0,150.0,61.0,20.0,10.0,0.0,10.0,0.0,20.0,201.0,10.0,20.0,0.0,60.60606060606061
7,122,49.583,0.8290000000000001,15.767000000000001,"Přibyslav",2015-12-18,GHCND:EZM00011659,METERS,536.4,1954-07-01,"PRIBYSLAV, EZ",79.0,0.0,20.0,0.0,191.0,0.0,0.0,0.0,41.0,150.0,79.0,0.0,109.0,109.0,119.0,0.0,61.0,89.0,0.0,371.0,180.0,61.0,0.0,150.0,0.0,30.0,0.0,0.0,0.0,30.0,61.0,0.0,57.57575757575758
8,123,49.151,0.6854,16.694000000000003,"Tuřany",2015-12-18,GHCND:EZM00011723,METERS,237.1,1939-04-01,"TURANY, EZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,61.0,0.0,0.0,0.0,41.0,79.0,0.0,0.0,20.0,0.0,71.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,27.27272727272727
9,124,49.696000000000005,0.8438,18.111,"Mošnov",2015-12-18,GHCND:EZM00011782,METERS,257.3,1953-01-01,"MOSNOV, EZ",71.0,0.0,41.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,99.0,0.0,10.0,79.0,0.0,170.0,130.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,10.0,0.0,42.42424242424242
10,125,49.55,1.0,18.45,"Lysá hora",2015-12-18,GHCND:EZM00011787,METERS,1326.8,1973-01-01,"LYSA HORA, EZ",521.0,191.0,300.0,300.0,691.0,521.0,1791.0,0.0,620.0,470.0,930.0,239.0,320.0,521.0,310.0,460.0,599.0,759.0,41.0,1389.0,140.0,429.0,450.0,1941.0,160.0,531.0,470.0,51.0,531.0,381.0,211.0,419.0,96.96969696969697
